suggested_element,score,text,file,line,source,p_uicontrol,p_filepath,p_codeph,choice,context
codeph,0.960,-Xss4m,topics/too-many-nested-apply-templates.dita,27,codeph/flag,0.040,0.010,0.960,codeph,"Try setting a new VM option with the value [[-Xss4m]]. You can also try to slowly increase this to larger values (e.g. -Xss5m or -Xss6m). Note that this consumes memory on a per thread basis ( can have tens of threads), so using a very large value here can backfire and leave without memory."
codeph,0.960,ro.sync.exml.workspace.api.editor.page.ditamap.keys.KeyDefinitionManager,topics/wa-attr_from_external_data_source.dita,30,codeph/identifier,0.040,0.050,0.960,codeph,"For DITA documents, if a Subject Scheme map is referenced in the root DITA map, it will be used when proposing values for an attribute. If having a static map with possible attribute values is not flexible enough, you can use the [[ro.sync.exml.workspace.api.editor.page.ditamap.keys.KeyDefinitionManager]] API class. It has a getEnumerationDefinitions method that can be used to return possible valu"
codeph,0.960,getEnumerationDefinitions,topics/wa-attr_from_external_data_source.dita,30,codeph/identifier,0.030,0.020,0.960,codeph,"For DITA documents, if a Subject Scheme map is referenced in the root DITA map, it will be used when proposing values for an attribute. If having a static map with possible attribute values is not flexible enough, you can use the ro.sync.exml.workspace.api.editor.page.ditamap.keys.KeyDefinitionManager API class. It has a [[getEnumerationDefinitions]] method that can be used to return possible valu"
codeph,0.960,ccOnEnter,topics/wa-disable-content-completion.dita,28,codeph/identifier,0.180,0.030,0.960,codeph,You can set the [[ccOnEnter]] property in a plugin (using the LoadingOptions type definition from the Workspace API.
codeph,0.960,getOptionsJson,topics/webapp-create-plugin-config-page.dita,35,codeph/identifier,0.030,0.020,0.960,codeph,"Implement the [[getOptionsJson]] method to return a JSON string that contains the options that you want to make available to the JavaScript code. They will be accessible in your plugin's JavaScript code using the sync.options.PluginsOptions.getClientOption(optionName) method. The JSON should only contain key values, where values are of the type string|number|boolean with no arrays or other objects"
codeph,0.960,getOptionsForm,topics/webapp-create-plugin-config-page.dita,32,codeph/identifier,0.220,0.040,0.960,codeph,Implement the [[getOptionsForm]] method to return an HTML form and make sure it contains inputs with the name attribute the same as the option you want to configure.
codeph,0.960,-c,topics/webapp-initial-installation.dita,83,any/emphasis,0.050,0.030,0.960,codeph,"To perform a headless installation, the installer must be executed using a [[-c]] flag:C:\oxygenxml-web-author-64bit.exe -c"
codeph,0.960,trackChanges,topics/webauthor-user-management-integration.dita,51,codeph/identifier,0.090,0.020,0.960,codeph,You can control whether or not the Change Tracking feature is enabled by setting the [[trackChanges]] property in a plugin (using the LoadingOptions type definition from the Workspace API).
codeph,0.950,AuthorDocumentFragment.setSuggestedRelativeCaretOffset(int),reusables/topics/reusables-editor-variables.dita,134,codeph/call,0.020,0.010,0.950,codeph,"The ${caret} editor variable can be used for setting a fixed cursor position inside an XML fragment. To set the cursor position depending on the fragment inserted in the document, you can use AuthorDocumentFilter and inside the insertFragment(AuthorDocumentFilterBypass, int, AuthorDocumentFragment) method, use the [[AuthorDocumentFragment.setSuggestedRelativeCaretOffset(int)]] API on the given fra"
codeph,0.950,-Xmx2g,reusables/topics/reusables-transforming-documents.dita,219,codeph/flag,0.040,0.010,0.950,codeph,"This parameter allows you to set specific parameters for the Java Virtual Machine used by Ant. When performing a large transformation, you may want to increase the memory allocated to the Java Virtual Machine. This will help avoid Out of Memory error messages (OutOfMemoryError). For example, if it is set to [[-Xmx2g]], the transformation process is allowed to use a maximum 2 gigabytes of memory. I"
codeph,0.950,editlink.remote.ditamap.url,reusables/topics/reusables-webhelp-output-parameters.dita,55,codeph/identifier,0.150,0.040,0.950,codeph,"[[editlink.remote.ditamap.url]] (Deprecated) || Use this parameter in conjunction with editlink.web.author.url to add an Edit link next to the topic title in the WebHelp output. When a user clicks the link, the topic is opened in Oxygen XML Web Author where they can make changes that can be saved to a file server. The value should be set as the custom URL of the main DITA map. For example, a GitHu"
codeph,0.950,editlink.web.author.url,reusables/topics/reusables-webhelp-output-parameters.dita,66,codeph/identifier,0.140,0.040,0.950,codeph,"[[editlink.web.author.url]] (Deprecated) || This parameter needs to be used in conjunction with editlink.remote.ditamap.url to add an Edit link next to the topic title in the WebHelp output. When a user clicks the link, the topic is opened in Oxygen XML Web Author where they can make changes that can be saved to a file server. The value should be set as the URL of the Web Author installation. For "
codeph,0.950,webhelp.footer.file,reusables/topics/reusables-webhelp-output-parameters.dita,104,codeph/identifier,0.150,0.430,0.950,codeph,"[[webhelp.footer.file]] || Path to an XML file that includes the footer content for your WebHelp output pages. You can use this parameter to integrate social media features such as widgets for Facebook, X (formerly known as Twitter), Google Analytics, or Google+. The file must be well-formed, each widget must be in separate div or span element, and the code for each script element is included in a"
codeph,0.950,webhelp.reload.stylesheet,reusables/topics/reusables-webhelp-output-parameters.dita,234,codeph/identifier,0.100,0.030,0.950,codeph,[[webhelp.reload.stylesheet]] || Set this parameter to true if you have out of memory problems when generating WebHelp. It will increase processing time but decrease the memory footprint. The default value is false.
codeph,0.950,webhelp.search.page.numberOfItems,reusables/topics/reusables-webhelp-output-parameters.dita,288,codeph/identifier,0.110,0.020,0.950,codeph,[[webhelp.search.page.numberOfItems]] || Specifies the number of search results items displayed on each page. This parameter is only used when the webhelp.search.enable.pagination parameter is enabled.
codeph,0.950,webhelp.fragment.after.body.search.page,reusables/topics/reusables-webhelp-output-parameters.dita,436,codeph/identifier,0.110,0.070,0.950,codeph,[[webhelp.fragment.after.body.search.page]] || This parameter can be used to display a given XHTML fragment after the body in the search results page. The value of the parameter can be either a well-formed XHTML fragment or a path to a file that contains a well-formed XHTML fragment.
codeph,0.950,webhelp.fragment.after.top_menu,reusables/topics/reusables-webhelp-output-parameters.dita,508,codeph/identifier,0.140,0.060,0.950,codeph,[[webhelp.fragment.after.top_menu]] || This parameter can be used to display a given XHTML fragment after the top menu in all types of pages. The value of the parameter can be either a well-formed XHTML fragment or a path to a file that contains a well-formed XHTML fragment.
codeph,0.950,webhelp.fragment.before.top_menu,reusables/topics/reusables-webhelp-output-parameters.dita,608,codeph/identifier,0.150,0.070,0.950,codeph,[[webhelp.fragment.before.top_menu]] || This parameter can be used to display a given XHTML fragment before the top menu in all types of pages. The value of the parameter can be either a well-formed XHTML fragment or a path to a file that contains a well-formed XHTML fragment.
codeph,0.950,webhelp.fragment.before.toc_or_tiles,reusables/topics/reusables-webhelp-output-parameters.dita,600,codeph/identifier,0.120,0.060,0.950,codeph,[[webhelp.fragment.before.toc_or_tiles]] || This parameter can be used to display a given XHTML fragment before the table of contents or tiles in the main page. The value of the parameter can be either a well-formed XHTML fragment or a path to a file that contains a well-formed XHTML fragment.
codeph,0.950,webhelp.fragment.after.header.search.page,reusables/topics/reusables-webhelp-output-parameters.dita,689,codeph/identifier,0.110,0.060,0.950,codeph,[[webhelp.fragment.after.header.search.page]] || This parameter can be used to display a given XHTML fragment after the header section in the search results page. The value of the parameter can be either a well-formed XHTML fragment or a path to a file that contains a well-formed XHTML fragment.
codeph,0.950,webhelp.fragment.after.topic.toolbar,reusables/topics/reusables-webhelp-output-parameters.dita,780,codeph/identifier,0.280,0.060,0.950,codeph,[[webhelp.fragment.after.topic.toolbar]] || This parameter can be used to display a given XHTML fragment after the toolbar buttons above the topic content in the topic page. The value of the parameter can be either a well-formed XHTML fragment or a path to a file that contains a well-formed XHTML fragment.
codeph,0.950,webhelp.fragment.after.feedback,reusables/topics/reusables-webhelp-output-parameters.dita,836,codeph/identifier,0.110,0.060,0.950,codeph,[[webhelp.fragment.after.feedback]] || This parameter can be used to display a given XHTML fragment after the Oxygen Feedback commenting component in the topic page. The value of the parameter can be either a well-formed XHTML fragment or a path to a file that contains a well-formed XHTML fragment.
codeph,0.950,webhelp.fragment.custom.search.engine.results,reusables/topics/reusables-webhelp-output-parameters.dita,857,codeph/identifier,0.410,0.070,0.950,codeph,[[webhelp.fragment.custom.search.engine.results]] || This parameter can be used to replace the search results area with custom XHTML content. The value of the parameter is the path to an XHTML file that contains your custom content.
codeph,0.950,webhelp.fragment.custom.search.engine.script,reusables/topics/reusables-webhelp-output-parameters.dita,864,codeph/identifier,0.060,0.120,0.950,codeph,[[webhelp.fragment.custom.search.engine.script]] || This parameter can be used to replace WebHelp's built-in search engine with your own custom search engine. The value of the parameter is the path to an XHTML file that contains the scripts required for your custom search engine to run.
codeph,0.950,webhelp.show.related.links,reusables/topics/reusables-webhelp-output-parameters.dita,961,codeph/identifier,0.220,0.020,0.950,codeph,[[webhelp.show.related.links]] || Specifies if the related links component will be presented in the WebHelp Responsive output. The default value is yes. The webhelp.merge.nested.topics.related.links parameter can be used in conjunction with this one to merge the related links from nested topics into the links in the parent topic.
codeph,0.950,webhelp.publication.toc.tooltip.position,reusables/topics/reusables-webhelp-output-parameters.dita,1014,codeph/identifier,0.130,0.020,0.950,codeph,"[[webhelp.publication.toc.tooltip.position]] || By default, if a topic contains a shortdesc element, its content is displayed in a tooltip when the user hovers over its link in the table of contents. This parameter controls whether or not this tooltip is displayed and its position relative to the link. The possible values are: left right (default) top bottom hidden - The tooltip will not be displa"
codeph,0.950,customization.dir,topics/add-watermark-pdf-output.dita,120,any/emphasis,0.140,0.530,0.950,codeph,"Edit the transformation scenario, go to the Parameters tab, and set the [[customization.dir]] parameter to point to the location of your customization directory."
codeph,0.950,WSAuthorEditorPageBase.getFullySelectedNode(),topics/api-faq-current-selected-node.dita,14,codeph/call,0.040,0.020,0.950,codeph,When an element is fully selected by the user the selection start and end offsets are actually outside of the node's offset bounds. So using AuthorDocumentController.getNodeAtOffset will actually return the parent of the selected node. A special API is available that makes it easier for you to determine this situation: [[WSAuthorEditorPageBase.getFullySelectedNode()]].
codeph,0.950,TARGET_PATH,topics/cf-amazon-s3-connector.dita,144,any/emphasis,0.090,0.600,0.950,codeph,"If you want to specify a custom target path, then modify the [[TARGET_PATH]] variable. For example, if you want to unzip the archive into the Documentation folder, then set the variable to: TARGET_PATH = ""Documentation/."
codeph,0.950,-css,topics/ch_command_line_interface.dita,59,codeph/flag,0.100,0.070,0.950,codeph,"[[-css]] || A list of CSS files, in URI or File syntax, separated by spaces. -css http://my.example.com/css/pages.css http://my.example.com/css/fonts-and-colors.css If you want to process an HTML document, this parameter is optional. If you specify a CSS, it is considered to be more important than the ones referenced from the document (for example, using the link element or the xml-stylesheet proc"
codeph,0.950,-dump-fo,topics/ch_command_line_interface.dita,88,codeph/flag,0.110,0.050,0.950,codeph,[[-dump-fo]] || Dumps the FO file (before converting it to PDF) in the same location as the output file. This can be used for debugging purposes.
codeph,0.950,-no-aggressive-hyphenation,topics/ch_command_line_interface.dita,202,codeph/flag,0.270,0.030,0.950,codeph,"[[-no-aggressive-hyphenation]] || normally uses an aggressive technique to create hyphenation points at underscores, dots, and case changes. To disable this functionality, use this -no-aggressive-hyphenation parameter."
codeph,0.950,-sign-password,topics/ch_command_line_interface.dita,351,codeph/flag,0.190,0.020,0.950,codeph,[[-sign-password]] || The export password of the keystore used to sign the PDF.
codeph,0.950,-oxy-pdf-viewer-page-layout,topics/ch_css_extensions.dita,487,codeph/flag,0.180,0.020,0.950,codeph,"[[-oxy-pdf-viewer-page-layout]] || Specifies the page layout to be used when the document is opened.:root { -oxy-pdf-viewer-page-layout: one-column; } single-page Displays one page at a time. one-column Displays the pages in one column. two-column-left Displays the pages in two columns, with odd-numbered pages on the left. two-column-right Displays the pages in two columns, with odd-numbered pages"
codeph,0.950,createXMLNodeCustomizer(),topics/configuring-xml-node-renderer-customizer.dita,30,codeph/call,0.060,0.030,0.950,codeph,"As a part of a bundle, returning it from the [[createXMLNodeCustomizer()]] method of the ExtensionsBundle associated with your document type in the Document type configuration dialog box (Extensions bundle field in the Extensions tab)."
codeph,0.950,com.oxygenxml.editor.plugins.dir,topics/custom-system-properties.dita,175,codeph/identifier,0.080,0.510,0.950,codeph,[[com.oxygenxml.editor.plugins.dir]] || Allowed Values: The path can be specified with any of the following: A URL or file path that is relative to the application's installation folder (for example: -Dcom.oxygenxml.editor.plugins.dir=my-plugins). A system variable that specifies the file path (for example: -Dcom.oxygenxml.editor.plugins.dir=${system(CONFIG)}/plugins). An environmental variable th
codeph,0.950,editlink.remote.ditamap.url,topics/dcpp_parameters.dita,347,codeph/identifier,0.150,0.040,0.950,codeph,"[[editlink.remote.ditamap.url]] (deprecated) || Use this parameter in conjunction with editlink.web.author.url to add an Edit link next to the topic title in the PDF output. When a user clicks the link, the topic is opened in Oxygen XML Web Author where they can make changes that can be saved to a file server. The value should be set as the custom URL of the main DITA map. For example, a GitHub cu"
codeph,0.950,editlink.web.author.url,topics/dcpp_parameters.dita,357,codeph/identifier,0.140,0.040,0.950,codeph,"[[editlink.web.author.url]] (deprecated) || This parameter needs to be used in conjunction with editlink.remote.ditamap.url to add an Edit link next to the topic title in the PDF output. When a user clicks the link, the topic is opened in Oxygen XML Web Author where they can make changes that can be saved to a file server. The value should be set as the URL of the Web Author installation. For exam"
codeph,0.950,getReferenceUniqueID,topics/dg-author-references-resolver.dita,137,codeph/identifier,0.020,0.030,0.950,codeph,"The method [[getReferenceUniqueID]] should return a unique identifier for the node reference. The unique identifier is used to avoid resolving the references recursively. The method takes AuthorNode as an argument that represents the node with the reference. In the following example, the unique identifier is the value of the location attribute from the ref element."
codeph,0.950,AuthorSchemaAwareEditingHandlerAdapter,topics/dg-author-schema-aware-editing-handler.dita,33,any/emphasis,0.030,0.050,0.950,codeph,"To implement your own [[AuthorSchemaAwareEditingHandlerAdapter]], follow this procedure: Implement the ro.sync.ecss.extensions.api.AuthorSchemaAwareEditingHandlerAdapter extension. To instruct to use this newly created implementation, configure an extensions bundle and return the AuthorSchemaAwareEditingHandlerAdapter implementation using the ro.sync.ecss.extensions.api.ExtensionsBundle.getAuthorS"
codeph,0.950,ro.sync.ecss.extensions.api.ExtensionsBundle.getAuthorSchemaAwareEditingHandlerAdapter(),topics/dg-author-schema-aware-editing-handler.dita,39,codeph/call,0.020,0.030,0.950,codeph,"To instruct to use this newly created implementation, configure an extensions bundle and return the AuthorSchemaAwareEditingHandlerAdapter implementation using the [[ro.sync.ecss.extensions.api.ExtensionsBundle.getAuthorSchemaAwareEditingHandlerAdapter()]] method."
codeph,0.950,ro.sync.ecss.extensions.api.ExtensionsBundle.createAuthorExternalObjectInsertionHandler(),topics/dg-drop-paste-handler.dita,39,codeph/call,0.020,0.030,0.950,codeph,"Otherwise, you can configure an extensions bundle, then return the AuthorExternalObjectInsertionHandler implementation using the [[ro.sync.ecss.extensions.api.ExtensionsBundle.createAuthorExternalObjectInsertionHandler()]] method."
codeph,0.950,AuthorExternalObjectInsertionHandler,topics/dg-drop-paste-handler.dita,39,any/emphasis,0.040,0.050,0.950,codeph,"Otherwise, you can configure an extensions bundle, then return the [[AuthorExternalObjectInsertionHandler]] implementation using the ro.sync.ecss.extensions.api.ExtensionsBundle.createAuthorExternalObjectInsertionHandler() method."
codeph,0.950,getArguments,topics/dg-step-by-step-example.dita,44,codeph/identifier,0.030,0.030,0.950,codeph,The [[getArguments]] method is used by when the action is configured. It returns the list of arguments (name and type) that are accepted by the operation.
codeph,0.950,simple.documentation.framework.TableCellSepProvider,topics/dg-table-rowsep-colsep-provider.dita,26,codeph/identifier,0.050,0.090,0.950,codeph,Create the class [[simple.documentation.framework.TableCellSepProvider]]. This class must implement the ro.sync.ecss.extensions.api.AuthorTableCellSepProvider interface.
codeph,0.950,args.css,topics/dita-ot-customization.dita,84,filepath/filename,0.130,0.620,0.950,codeph,"XHTML-based output can be modified by using a custom CSS stylesheet to override various styles. If you edit an XHTML transformation scenario, there is a parameter called [[args.css]] that can be set to point to your custom CSS and a parameter called args.copy.css that as long as it is set to yes, the CSS is copied to the output folder."
codeph,0.950,customization.dir,topics/dita_pdf_header_footer_customization.dita,28,any/emphasis,0.140,0.530,0.950,codeph,"Edit the transformation scenario, go to the Parameters tab, and set the [[customization.dir]] parameter to point to the location of your customization directory."
codeph,0.950,show.changes.and.comments,topics/dita_pdf_output_show_comments.dita,12,codeph/identifier,0.220,0.020,0.950,codeph,"In the Parameters tab, set the value of the [[show.changes.and.comments]] parameter to yes. If you also want to display change bars for inserted or deleted content in the PDF, set the show.changebars parameter to yes. If you want to only show the changebars, without other styling of the changes, you should set both the show.changes.and.comments and show.changes.and.comments.as.changebars.only para"
codeph,0.950,show.changes.and.comments,topics/dita_pdf_output_show_comments.dita,12,codeph/identifier,0.310,0.020,0.950,codeph,"In the Parameters tab, set the value of the show.changes.and.comments parameter to yes. If you also want to display change bars for inserted or deleted content in the PDF, set the show.changebars parameter to yes. If you want to only show the changebars, without other styling of the changes, you should set both the [[show.changes.and.comments]] and show.changes.and.comments.as.changebars.only para"
codeph,0.950,ro.sync.ecss.extensions.api.ExtensionsBundle.createEditPropertiesHandler(),topics/edit-properties-handler.dita,27,codeph/call,0.040,0.020,0.950,codeph,"If you have configured an extensions bundle, you can return the EditPropertiesHandler implementation using the [[ro.sync.ecss.extensions.api.ExtensionsBundle.createEditPropertiesHandler()]] method."
codeph,0.950,-overwrite,topics/eppo-installation-linux.dita,116,codeph/flag,0.060,0.030,0.950,codeph,"[[-overwrite]] || In unattended mode, the installer does not overwrite files with the same name if a previous version of the is installed in the same folder. The -overwrite parameter added after the -q parameter forces the overwriting of these files."
codeph,0.950,-overwrite,topics/eppo-installation-linux.dita,117,codeph/flag,0.070,0.030,0.950,codeph,"In unattended mode, the installer does not overwrite files with the same name if a previous version of the is installed in the same folder. The [[-overwrite]] parameter added after the -q parameter forces the overwriting of these files."
codeph,0.950,downloadResources,topics/eppo-installation-linux.dita,266,codeph/identifier,0.210,0.050,0.950,codeph,"[[downloadResources]] || Used to download resources (links to video demonstrations, webinars, and upcoming events) from to populate the application welcome screen. Possible values are true (default) or false."
codeph,0.950,-overwrite,topics/eppo-installation-windows.dita,92,codeph/flag,0.070,0.030,0.950,codeph,"[[-overwrite]] || In unattended mode, the installer does not overwrite files with the same name if a previous version of the is installed in the same folder. The -overwrite parameter added after the -q parameter forces the overwriting of these files."
codeph,0.950,-overwrite,topics/eppo-installation-windows.dita,93,codeph/flag,0.060,0.030,0.950,codeph,"In unattended mode, the installer does not overwrite files with the same name if a previous version of the is installed in the same folder. The [[-overwrite]] parameter added after the -q parameter forces the overwriting of these files."
codeph,0.950,selectMultipleAlternateCSS,topics/framework-customization-script-usecases.dita,232,codeph/identifier,0.100,0.020,0.950,codeph,"Example: Using the [[selectMultipleAlternateCSS]] Attribute in the Script<css selectMultipleAlternateCSS=""true""/>"
codeph,0.950,createChangeTrackingMarkersForAddedXMLFiles,topics/merge-directories-change-tracking.dita,79,codeph/identifier,0.580,0.030,0.950,codeph,"-cm [[createChangeTrackingMarkersForAddedXMLFiles]] || Set to true if you want to create change tracking markers for the XML files only present in the directory to merge with (that will be added to the output directory). Although these files have no counterparts in the base directory, change tracking markers of the type ""entire content added/inserted"" will be created. The option is not necessarily"
codeph,0.950,--help,topics/open-local-file-from-cmd.dita,52,codeph/flag,0.250,0.030,0.950,codeph,You can use the -h or [[--help]] parameters to see more detailed information about possible values. 
codeph,0.950,-h,topics/open-local-file-from-cmd.dita,52,any/emphasis,0.100,0.030,0.950,codeph,You can use the [[-h]] or --help parameters to see more detailed information about possible values. 
codeph,0.950,-Xmx,topics/performance-problems-external-processes.dita,33,codeph/flag,0.020,0.010,0.950,codeph,"For external XSL-FO processors, XSLT processors, and external tools, the maximum value of the allocated memory is set in the command line of the tool using the [[-Xmx]] parameter set to the Java virtual machine."
codeph,0.950,suppressLinks,topics/scripting-compare-directories.dita,43,codeph/identifier,0.510,0.030,0.950,codeph,-sl [[suppressLinks]] || Set this to true to suppress links to the compared directories and files shown in the HTML-formatted operation report. Default value = false.
codeph,0.950,ignoreExpStateForEmptyElems,topics/scripting-compare-directories.dita,145,codeph/identifier,0.300,0.020,0.950,codeph,"-iee [[ignoreExpStateForEmptyElems]] (only for the XML-aware algorithms) || If set to true, the expansion state for empty elements is ignored in the comparison. Default value = false."
